task,feature,c1_rank,c1_score,c2_rank,c2_score,c3_rank,c3_score,mean_rank,mean_score,top10_count,label_source_count,decision
EarlyFault,v__spectral__entropy,1,0.9862780310355944,26,0.5072624093503231,21,0.1790706233700752,16.0,0.5575370212519976,1,0,condition_specific
EarlyFault,mag__spectral__centroid,3,0.7985605806381034,23,0.5320466560715472,29,0.1310661011787237,18.333333333333332,0.48722444596279146,1,0,condition_specific
EarlyFault,h__spectral__entropy,4,0.7909464576139973,30,0.3523373799766141,28,0.1430306631369844,20.666666666666668,0.4287715002425319,1,0,condition_specific
EarlyFault,mag__spectral__rms_frequency,5,0.7336941917239164,27,0.5035678721407125,32,0.114707402655755,21.333333333333332,0.45065648884012804,1,0,condition_specific
EarlyFault,h__spectral__bandwidth,23,0.5099278493475137,38,0.1253551515509793,7,0.8832655191682639,22.666666666666668,0.5061828400222522,1,0,condition_specific
EarlyFault,v__spectral__centroid,6,0.7315577562354756,40,0.1089409322414588,44,0.0465618788796328,30.0,0.2956868557855224,1,0,condition_specific
EarlyFault,v__spectral__bandwidth,22,0.5673205495505085,35,0.2163821431876576,19,0.2017773879878757,25.333333333333332,0.3284933602420139,0,0,not_top10
EarlyFault,h__time__skewness,26,0.3494033238029491,25,0.5143019730977559,26,0.1506641279860427,25.666666666666668,0.33812314162891594,0,0,not_top10
EarlyFault,mag__spectral__bandwidth,31,0.1665078583056364,28,0.4151654072247392,18,0.2355301445827448,25.666666666666668,0.27240113670437344,0,0,not_top10
EarlyFault,v__spectral__peak_frequency,36,0.1190966400127092,29,0.3744737400867171,13,0.8239342762833622,26.0,0.4391682187942629,0,0,not_top10
EarlyFault,mag__time__kurtosis,39,0.0949589332552623,20,0.670653120799206,22,0.176557773803263,27.0,0.31405660928591045,0,0,not_top10
EarlyFault,h__spectral__rms_frequency,24,0.4680972049449243,41,0.1062074662585025,17,0.282094660719658,27.333333333333332,0.28546644397436155,0,0,not_top10
EarlyFault,mag__time__skewness,42,0.0353176348740251,18,0.7856192691582944,23,0.172510232471128,27.666666666666668,0.33114904550114915,0,0,not_top10
EarlyFault,v__time__kurtosis,32,0.1606544900660768,32,0.3050721079875206,20,0.1845661404183505,28.0,0.21676424615731596,0,0,not_top10
EarlyFault,h__time__clearance_factor,34,0.1309636845852828,14,0.827274319966924,39,0.0832236667881195,29.0,0.3471538904467754,0,0,not_top10
EarlyFault,h__time__impulse_factor,35,0.1239564171675304,16,0.8108292839475575,38,0.0852800515620824,29.666666666666668,0.3400219175590567,0,0,not_top10
EarlyFault,h__time__kurtosis,38,0.1019465193034368,17,0.8069911618012697,34,0.0933502104282266,29.666666666666668,0.33409596384431106,0,0,not_top10
EarlyFault,v__spectral__rms_frequency,18,0.6819902938151411,36,0.180199299548849,37,0.0872935782862839,30.333333333333332,0.3164943905500913,0,0,not_top10
EarlyFault,h__time__crest_factor,37,0.1151122151022323,19,0.7722381843321414,36,0.0893854750792572,30.666666666666668,0.325578624837877,0,0,not_top10
EarlyFault,h__spectral__centroid,21,0.6015472255436061,42,0.0968859312277737,30,0.1299057973277531,31.0,0.27611298469971096,0,0,not_top10
EarlyFault,h__spectral__peak_frequency,33,0.1334695186187122,45,0.0,16,0.4704005850314701,31.333333333333332,0.20129003455006078,0,0,not_top10
EarlyFault,v__time__clearance_factor,30,0.2110036770062277,31,0.3061858260032394,33,0.0977613492261831,31.333333333333332,0.2049836174118834,0,0,not_top10
EarlyFault,v__time__impulse_factor,29,0.2171207489330262,33,0.3045204023653242,35,0.090601168957966,32.333333333333336,0.2040807734187721,0,0,not_top10
EarlyFault,v__time__skewness,27,0.3403404948037178,39,0.1118199347284859,31,0.1158284757171896,32.333333333333336,0.18932963508313108,0,0,not_top10
EarlyFault,v__time__crest_factor,28,0.225538878688861,34,0.2974331834535868,41,0.0758931651621765,34.333333333333336,0.19962174243487477,0,0,not_top10
EarlyFault,mag__time__clearance_factor,43,0.0343920118571421,21,0.5714533085077873,40,0.0770508693258826,34.666666666666664,0.22763206323027066,0,0,not_top10
EarlyFault,h__time__mean,40,0.0765485988125749,43,0.0258358687970847,24,0.1662566590018465,35.666666666666664,0.08954704220383536,0,0,not_top10
EarlyFault,mag__spectral__peak_frequency,25,0.4080633605858892,37,0.1790516651548786,45,0.0050810777683091,35.666666666666664,0.1973987011696923,0,0,not_top10
